,text,time,sentiment
0,RT : Adesua Wellington sef be stepper...abi na my eyes dey pain me      #,2022-12-15 20:00:58+00:00,False
1,"Amid the wild celebrations from the French players, their superstar forward, Kylian Mbappe, could be seen weaving his way around his teammates before leaning over his good friend and stalwart of the Moroccan defense, Achraf Hakimi.   ",2022-12-15 20:00:57+00:00,False
4, is an absolute moron for disagreeing with  on this.How can anyone get their news from someone so shamefully unreasonable?     ,2022-12-15 20:00:55+00:00,False
14,DO YOU KNOW?Chelsea are set to sign Striker Datro Fofana from Molde for 8.6m in January 2023. ,2022-12-15 20:00:48+00:00,False
15,RT : Riot has no religion.    ,2022-12-15 20:00:48+00:00,False
23,RT : Adesua Wellington sef be stepper...abi na my eyes dey pain me      #,2022-12-15 20:00:40+00:00,False
24,RT : Riot has no religion.    ,2022-12-15 20:00:38+00:00,False
28,          |    ,2022-12-15 20:00:34+00:00,False
36,Urgent!    : La  aurait demand  la  de laisser l gagner ainsi permettre   de remporter le seul trophe qui lui manque. ,2022-12-15 20:00:26+00:00,False
38,RT : Riot has no religion.    ,2022-12-15 20:00:20+00:00,False
54,RT : Adesua Wellington sef be stepper...abi na my eyes dey pain me      #,2022-12-15 20:00:10+00:00,False
55,Moje podsumowanie pfinaw  i Szymon Marciniak na tapecie. Zapraszam!        /       ,2022-12-15 20:00:09+00:00,False
62, #   #..          ,2022-12-15 20:00:02+00:00,False
71,"Querido M`bape:1- jugaste fase de grupos vs Ucrania, Finlandia, Bosnia y Kazajistn. 2- De los 32 clasificados, 12 son de Europa, vs 4, 7, 4 y 5 de los dems continentes.   ",2022-12-15 20:01:49+00:00,False
77,RT : $20 | 290.000 IDR ~ 4 HOURS  RT this &amp;      ,2022-12-15 20:01:44+00:00,False
83,RT : Adesua Wellington sef be stepper...abi na my eyes dey pain me      #,2022-12-15 20:01:37+00:00,False
85,RT :        |       ,2022-12-15 20:01:37+00:00,False
87,RT : $20 | 290.000 IDR ~ 4 HOURS  RT this &amp;      ,2022-12-15 20:01:34+00:00,False
88,   ,2022-12-15 20:01:33+00:00,False
89,RT : $20 | 290.000 IDR ~ 4 HOURS  RT this &amp;      ,2022-12-15 20:01:33+00:00,False
90,RT : te geen haftaki yakm miktarmz; Tam 24  Ve imdideden bu miktar gemi bulunuyoruz.Yeni yakm gnne sad,2022-12-15 20:01:32+00:00,False
99,RT : Adesua Wellington sef be stepper...abi na my eyes dey pain me      #,2022-12-15 20:01:22+00:00,False
102,RT : Adesua Wellington sef be stepper...abi na my eyes dey pain me      #,2022-12-15 20:01:17+00:00,False
104,RT : $20 | 290.000 IDR ~ 4 HOURS  RT this &amp;      ,2022-12-15 20:01:15+00:00,False
117,RT : Riot has no religion.    ,2022-12-15 20:01:00+00:00,False
119,"France and Argentina are gearing up for a heavyweight  final that pits Kylian Mbappe against Lionel Messi in a hotly anticipated duel, with history on the line",2022-12-15 20:01:00+00:00,False
122,RT : Adesua Wellington sef be stepper...abi na my eyes dey pain me      #,2022-12-15 20:02:57+00:00,False
133,RT : Adesua Wellington sef be stepper...abi na my eyes dey pain me      #,2022-12-15 20:02:43+00:00,False
136,RT : $20 | 290.000 IDR ~ 4 HOURS  RT this &amp;      ,2022-12-15 20:02:41+00:00,False
139," The highest payment of any club in the world will go to Manchester City, who will get 4.5 million from FIFA for releasing their players for the World Cup. (Referring to ) Sign up    ",2022-12-15 20:02:33+00:00,False
140,RT : te geen haftaki yakm miktarmz; Tam 24  Ve imdideden bu miktar gemi bulunuyoruz.Yeni yakm gnne sad,2022-12-15 20:02:32+00:00,False
142,      .         ,2022-12-15 20:02:26+00:00,False
168,                  ,2022-12-15 20:03:41+00:00,False
169,"NO VEO LA HORA, QUE LLEGUE EL DOMINGO, DEJO TODO LO QUE TENGO QUE HACER, ME VOY A VER A LIONELLL, LA BANDA ESTA LOCAAA POR TRAER LA COPAA    ",2022-12-15 20:03:40+00:00,False
175,Is it a Grail?  Black 1/1 Messi pulled at Cherry  Recently acquired by Exquisite Sports Collectibles.       ,2022-12-15 20:03:37+00:00,False
178,"Eu no toro pra Argentina. Porm, nada contra quem torce.E a Frana? Safoda eles!  ",2022-12-15 20:03:32+00:00,False
193,"Is this the worst World Cup of all time, Ive watched about 4 games just not interested, FIFA should be ashamed of themselves, also believe protests should of happened years ago  and are pointless now ",2022-12-15 20:03:09+00:00,False
195,   # ,2022-12-15 20:03:08+00:00,False
200,    ,2022-12-15 20:03:03+00:00,False
204,RT : Riot has no religion.    ,2022-12-15 20:04:57+00:00,False
211,RT : The final match in the 92-year history of the World Cup Argentina has the 6th time to play the final France has th,2022-12-15 20:04:49+00:00,False
212,Yes I said it...     ,2022-12-15 20:04:48+00:00,False
219,RT : Adesua Wellington sef be stepper...abi na my eyes dey pain me      #,2022-12-15 20:04:44+00:00,False
223,RT : Adesua Wellington sef be stepper...abi na my eyes dey pain me      #,2022-12-15 20:04:39+00:00,False
225,RT : $20 | 290.000 IDR ~ 4 HOURS  RT this &amp;      ,2022-12-15 20:04:36+00:00,False
